date_period,orig_country,lang_family,lang_branch,orig_lang,dest_continent,dest_country,num_results
1/1/07,mx,Indo-European,Romance,es,AFRICA,Angola,1030
1/1/07,mx,Indo-European,Romance,es,AFRICA,Burundi,135
1/1/07,mx,Indo-European,Romance,es,AFRICA,Benin,69
1/1/07,mx,Indo-European,Romance,es,AFRICA,Burkina Faso,144
1/1/07,mx,Indo-European,Romance,es,AFRICA,Botswana,68
1/1/07,mx,Indo-European,Romance,es,AFRICA,Central African Republic,116
1/1/07,mx,Indo-European,Romance,es,AFRICA,Cote d'Ivoire,707
1/1/07,mx,Indo-European,Romance,es,AFRICA,Cameroon,723
1/1/07,mx,Indo-European,Romance,es,AFRICA,Republic of the Congo,493
1/1/07,mx,Indo-European,Romance,es,AFRICA,Eritrea,151
1/1/07,mx,Indo-European,Romance,es,AFRICA,Ethiopia,1230
1/1/07,mx,Indo-European,Romance,es,AFRICA,Gabon,96
1/1/07,mx,Indo-European,Romance,es,AFRICA,Ghana,1070
1/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea,1250
1/1/07,mx,Indo-European,Romance,es,AFRICA,Gambia,207
1/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea-Bissau,143
1/1/07,mx,Indo-European,Romance,es,AFRICA,Kenya,224
1/1/07,mx,Indo-European,Romance,es,AFRICA,Liberia,802
1/1/07,mx,Indo-European,Romance,es,AFRICA,Lesotho,62
1/1/07,mx,Indo-European,Romance,es,AFRICA,Madagascar,140
1/1/07,mx,Indo-European,Romance,es,AFRICA,Mali,697
1/1/07,mx,Indo-European,Romance,es,AFRICA,Mozambique,536
1/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritania,1070
1/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritius,14700
1/1/07,mx,Indo-European,Romance,es,AFRICA,Malawi,123
1/1/07,mx,Indo-European,Romance,es,AFRICA,Namibia,790
1/1/07,mx,Indo-European,Romance,es,AFRICA,Niger,241
1/1/07,mx,Indo-European,Romance,es,AFRICA,Nigeria,2660
1/1/07,mx,Indo-European,Romance,es,AFRICA,Rwanda,233
1/1/07,mx,Indo-European,Romance,es,AFRICA,Sudan,2400
1/1/07,mx,Indo-European,Romance,es,AFRICA,Senegal,1330
1/1/07,mx,Indo-European,Romance,es,AFRICA,Sierra Leone,560
1/1/07,mx,Indo-European,Romance,es,AFRICA,Somalia,1480
1/1/07,mx,Indo-European,Romance,es,AFRICA,Chad,1960
1/1/07,mx,Indo-European,Romance,es,AFRICA,Togo,136
1/1/07,mx,Indo-European,Romance,es,AFRICA,Tanzania,631
1/1/07,mx,Indo-European,Romance,es,AFRICA,Uganda,691
1/1/07,mx,Indo-European,Romance,es,AFRICA,South Africa,8550
1/1/07,mx,Indo-European,Romance,es,AFRICA,Democratic Republic of the Congo,502
1/1/07,mx,Indo-European,Romance,es,AFRICA,Zambia,501
1/1/07,mx,Indo-European,Romance,es,AFRICA,Zimbabwe,205
1/1/07,mx,Indo-European,Romance,es,ASIA,Afghanistan,10500
1/1/07,mx,Indo-European,Romance,es,ASIA,Bangladesh,1020
1/1/07,mx,Indo-European,Romance,es,ASIA,Bhutan,33
1/1/07,mx,Indo-European,Romance,es,ASIA,India,11200
1/1/07,mx,Indo-European,Romance,es,ASIA,Sri Lanka,752
1/1/07,mx,Indo-European,Romance,es,ASIA,Nepal,707
1/1/07,mx,Indo-European,Romance,es,ASIA,Pakistan,6110
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Canada,17600
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,United States,47275
1/1/07,mx,Indo-European,Romance,es,ASIA,United Arab Emirates,1300
1/1/07,mx,Indo-European,Romance,es,AFRICA,Algeria,2700
1/1/07,mx,Indo-European,Romance,es,AFRICA,Egypt,4930
1/1/07,mx,Indo-European,Romance,es,ASIA,Iran,23100
