date_period,orig_country,orig_lang,dest_country,num_results
2006,kr,ko,Angola,13900
2006,kr,ko,Burundi,1500
2006,kr,ko,Benin,199
2006,kr,ko,Burkina Faso,526
2006,kr,ko,Botswana,2730
2006,kr,ko,Central African Republic,667
2006,kr,ko,Cote d'Ivoire,6850
2006,kr,ko,Cameroon,9060
2006,kr,ko,Republic of the Congo,964
2006,kr,ko,Eritrea,161
2006,kr,ko,Ethiopia,4220
2006,kr,ko,Gabon,1050
2006,kr,ko,Ghana,31900
2006,kr,ko,Guinea,1280
2006,kr,ko,Gambia,1700
2006,kr,ko,Guinea-Bissau,51
2006,kr,ko,Kenya,20800
2006,kr,ko,Liberia,870
2006,kr,ko,Lesotho,108
2006,kr,ko,Madagascar,909
2006,kr,ko,Mali,4800
2006,kr,ko,Mozambique,3540
2006,kr,ko,Mauritania,136
2006,kr,ko,Mauritius,209
2006,kr,ko,Malawi,5710
2006,kr,ko,Namibia,640
2006,kr,ko,Niger,1450
2006,kr,ko,Nigeria,44000
2006,kr,ko,Rwanda,1450
2006,kr,ko,Sudan,0
2006,kr,ko,Senegal,11800
2006,kr,ko,Sierra Leone,560
2006,kr,ko,Somalia,9880
2006,kr,ko,Chad,1020
2006,kr,ko,Togo,5000
2006,kr,ko,Tanzania,9270
2006,kr,ko,Uganda,2150
2006,kr,ko,South Africa,27000
2006,kr,ko,Democratic Republic of the Congo,587
2006,kr,ko,Zambia,5290
2006,kr,ko,Zimbabwe,8840
2006,kr,ko,Afghanistan,26300
2006,kr,ko,Bangladesh,15200
2006,kr,ko,Bhutan,0
2006,kr,ko,India,302000
2006,kr,ko,Sri Lanka,18000
2006,kr,ko,Nepal,12400
2006,kr,ko,Pakistan,20500
2006,kr,ko,Canada,229000
2006,kr,ko,United States,926000
2006,kr,ko,United Arab Emirates,33900
2006,kr,ko,Algeria,11100
2006,kr,ko,Egypt,28400
2006,kr,ko,Iran,397000
2006,kr,ko,Iraq,55300
2006,kr,ko,Israel,98700
2006,kr,ko,Jordan,68400
2006,kr,ko,Kuwait,20600
2006,kr,ko,Lebanon,26800
2006,kr,ko,Libya,26600
2006,kr,ko,Morocco,10500
2006,kr,ko,Oman,0
2006,kr,ko,Qatar,41200
2006,kr,ko,Saudi Arabia,27000
2006,kr,ko,Syria,51500
2006,kr,ko,Tunisia,6670
2006,kr,ko,West Bank,8339
2006,kr,ko,Yemen,18500
2006,kr,ko,Argentina,118000
2006,kr,ko,Bolivia,20800
2006,kr,ko,Brazil,157000
2006,kr,ko,Chile,69700
2006,kr,ko,Colombia,0
2006,kr,ko,Costa Rica,14200
2006,kr,ko,Cuba,12600
2006,kr,ko,Dominican Republic,21
2006,kr,ko,Ecuador,25800
2006,kr,ko,Guatemala,4020
2006,kr,ko,Honduras,14400
2006,kr,ko,Haiti,10100
2006,kr,ko,Jamaica,13100
2006,kr,ko,Mexico,130000
2006,kr,ko,Nicaragua,8900
2006,kr,ko,Panama,4980
2006,kr,ko,Peru,9580
2006,kr,ko,Puerto Rico,80
2006,kr,ko,Paraguay,7400
2006,kr,ko,El Salvador,31600
2006,kr,ko,Uruguay,27500
2006,kr,ko,Venezuela,47400
2006,kr,ko,Albania,705
2006,kr,ko,Armenia,1110
2006,kr,ko,Austria,39100
2006,kr,ko,Azerbaijan,0
2006,kr,ko,Belgium,30800
2006,kr,ko,Bulgaria,14700
2006,kr,ko,Bosnia and Herzegovina,4
2006,kr,ko,Belarus,0
2006,kr,ko,Switzerland,70500
2006,kr,ko,Czech Republic,642
2006,kr,ko,Germany,442000
2006,kr,ko,Denmark,30300
2006,kr,ko,Spain,131000
2006,kr,ko,Estonia,1920
2006,kr,ko,Finland,13800
2006,kr,ko,France,451000
2006,kr,ko,United Kingdom,390000
2006,kr,ko,Georgia,5630
2006,kr,ko,Greece,55200
2006,kr,ko,Greenland,2970
2006,kr,ko,Croatia,6350
2006,kr,ko,Hungary,17800
2006,kr,ko,Ireland,129000
2006,kr,ko,Italy,149000
2006,kr,ko,Kazakhstan,0
2006,kr,ko,Kyrgyzstan,146
2006,kr,ko,Lithuania,4340
2006,kr,ko,Macedonia,3630
2006,kr,ko,Netherlands,50200
2006,kr,ko,Norway,29500
2006,kr,ko,Poland,18100
2006,kr,ko,Portugal,83700
2006,kr,ko,Romania,7400
2006,kr,ko,Russia,293000
2006,kr,ko,Serbia,9140
2006,kr,ko,Slovakia,6960
2006,kr,ko,Slovenia,6610
2006,kr,ko,Sweden,50800
2006,kr,ko,Tajikistan,2470
2006,kr,ko,Turkmenistan,2910
2006,kr,ko,Turkey,70200
2006,kr,ko,Ukraine,27500
2006,kr,ko,Uzbekistan,0
2006,kr,ko,Australia,294000
2006,kr,ko,China,660000
2006,kr,ko,Hong Kong,161000
2006,kr,ko,Indonesia,107000
2006,kr,ko,Japan,842000
2006,kr,ko,Cambodia,17500
2006,kr,ko,South Korea,1230000
2006,kr,ko,Laos,5320
2006,kr,ko,Macau,12000
2006,kr,ko,Myanmar,11000
2006,kr,ko,Mongolia,20900
2006,kr,ko,Malaysia,72200
2006,kr,ko,New Zealand,71700
2006,kr,ko,Philippines,62200
2006,kr,ko,Papua New Guinea,911
2006,kr,ko,North Korea,693000
2006,kr,ko,Singapore,91500
2006,kr,ko,Thailand,87500
2006,kr,ko,Vietnam,89300
2006,kr,ko,Taiwan,206000
2006,kr,ko,French Guiana,74
2006,kr,ko,South Sudan,1940
2006,ru,ru,Angola,132
2006,ru,ru,Burundi,37
2006,ru,ru,Benin,39
2006,ru,ru,Burkina Faso,27
2006,ru,ru,Botswana,19
2006,ru,ru,Central African Republic,4
2006,ru,ru,Cote d'Ivoire,62
2006,ru,ru,Cameroon,110
