date_period,orig_country,orig_lang,dest_country,num_results
2010,kr,ko,Angola,13900
2010,kr,ko,Burundi,1500
2010,kr,ko,Benin,199
2010,kr,ko,Burkina Faso,526
2010,kr,ko,Botswana,2720
2010,kr,ko,Central African Republic,667
2010,kr,ko,Cote d'Ivoire,6850
2010,kr,ko,Cameroon,9050
2010,kr,ko,Republic of the Congo,964
2010,kr,ko,Eritrea,161
2010,kr,ko,Ethiopia,4220
2010,kr,ko,Gabon,1050
2010,kr,ko,Ghana,31900
2010,kr,ko,Guinea,1280
2010,kr,ko,Gambia,1700
2010,kr,ko,Guinea-Bissau,51
2010,kr,ko,Kenya,20800
2010,kr,ko,Liberia,870
2010,kr,ko,Lesotho,108
2010,kr,ko,Madagascar,909
2010,kr,ko,Mali,4800
2010,kr,ko,Mozambique,3540
2010,kr,ko,Mauritania,27
2010,kr,ko,Mauritius,209
2010,kr,ko,Malawi,5680
2010,kr,ko,Namibia,640
2010,kr,ko,Niger,1450
2010,kr,ko,Nigeria,43900
2010,kr,ko,Rwanda,1450
2010,kr,ko,Sudan,0
2010,kr,ko,Senegal,11700
2010,kr,ko,Sierra Leone,560
2010,kr,ko,Somalia,9880
2010,kr,ko,Chad,1020
2010,kr,ko,Togo,5000
2010,kr,ko,Tanzania,9270
2010,kr,ko,Uganda,2150
2010,kr,ko,South Africa,27000
2010,kr,ko,Democratic Republic of the Congo,587
2010,kr,ko,Zambia,5290
2010,kr,ko,Zimbabwe,8800
2010,kr,ko,Afghanistan,26300
2010,kr,ko,Bangladesh,15300
2010,kr,ko,Bhutan,0
2010,kr,ko,India,302000
2010,kr,ko,Sri Lanka,18000
2010,kr,ko,Nepal,12400
2010,kr,ko,Pakistan,20500
2010,kr,ko,Canada,227000
2010,kr,ko,United States,926000
2010,kr,ko,United Arab Emirates,37100
2010,kr,ko,Algeria,11100
2010,kr,ko,Egypt,28400
2010,kr,ko,Iran,397000
2010,kr,ko,Iraq,55300
2010,kr,ko,Israel,98800
2010,kr,ko,Jordan,68400
2010,kr,ko,Kuwait,20600
2010,kr,ko,Lebanon,26800
2010,kr,ko,Libya,26600
2010,kr,ko,Morocco,10600
2010,kr,ko,Oman,0
2010,kr,ko,Qatar,41200
2010,kr,ko,Saudi Arabia,27000
2010,kr,ko,Syria,51800
2010,kr,ko,Tunisia,6670
2010,kr,ko,West Bank,8563
2010,kr,ko,Yemen,18500
2010,kr,ko,Argentina,119000
2010,kr,ko,Bolivia,20800
2010,kr,ko,Brazil,157000
2010,kr,ko,Chile,69500
2010,kr,ko,Colombia,0
2010,kr,ko,Costa Rica,14200
2010,kr,ko,Cuba,12600
2010,kr,ko,Dominican Republic,21
2010,kr,ko,Ecuador,25700
2010,kr,ko,Guatemala,4020
2010,kr,ko,Honduras,14400
2010,kr,ko,Haiti,10100
2010,kr,ko,Jamaica,13100
2010,kr,ko,Mexico,130000
2010,kr,ko,Nicaragua,8860
2010,kr,ko,Panama,4980
2010,kr,ko,Peru,9570
2010,kr,ko,Puerto Rico,80
2010,kr,ko,Paraguay,7400
2010,kr,ko,El Salvador,31600
2010,kr,ko,Uruguay,27400
2010,kr,ko,Venezuela,47400
2010,kr,ko,Albania,705
2010,kr,ko,Armenia,1110
2010,kr,ko,Austria,39200
2010,kr,ko,Azerbaijan,0
2010,kr,ko,Belgium,30800
2010,kr,ko,Bulgaria,14800
2010,kr,ko,Bosnia and Herzegovina,4
2010,kr,ko,Belarus,0
2010,kr,ko,Switzerland,70500
2010,kr,ko,Czech Republic,642
2010,kr,ko,Germany,441000
2010,kr,ko,Denmark,30300
2010,kr,ko,Spain,131000
2010,kr,ko,Estonia,1920
2010,kr,ko,Finland,13800
2010,kr,ko,France,451000
2010,kr,ko,United Kingdom,390000
2010,kr,ko,Georgia,5630
2010,kr,ko,Greece,55200
2010,kr,ko,Greenland,2990
2010,kr,ko,Croatia,6350
2010,kr,ko,Hungary,17800
2010,kr,ko,Ireland,129000
2010,kr,ko,Italy,149000
2010,kr,ko,Kazakhstan,0
2010,kr,ko,Kyrgyzstan,146
2010,kr,ko,Lithuania,4340
2010,kr,ko,Macedonia,3630
2010,kr,ko,Netherlands,50200
2010,kr,ko,Norway,29400
2010,kr,ko,Poland,18100
2010,kr,ko,Portugal,83900
2010,kr,ko,Romania,7400
2010,kr,ko,Russia,293000
2010,kr,ko,Serbia,9140
2010,kr,ko,Slovakia,6960
2010,kr,ko,Slovenia,6610
