Afghanistan	956.448	30419928	74.0
Albania	7741.428	3002859	34.44
Algeria	7333.226	35406303	56.0
Angola	5894.617	18056072	58.43
Antigua and Barbuda	17980.652	89018	0.00
Argentina	17516.147	42192494	14.0
Armenia	5384.089	2970495	27.0
Australia	40234.321	22015576	4.0
Austria	41822.0	8219743	-8.0
Azerbaijan	10201.604	9493600	87.25
Bahrain	27556.233	1248348	125.0
Bangladesh	1692.957	161083804	57.0
Belarus	15028.295	9542883	99.0
Belgium	37736.857	10438353	-2.0
Benin	1481.063	9598787	31.0
Bhutan	6112.043	716896	24.0
Bolivia	4789.212	10290003	40.0
Bosnia and Herzegovina	8133.004	4622292	19.5
Botswana	16029.809	2098018	12.0
Brazil	11769.411	205716890	35.33
Brunei Darussalam	49384.399	408786	56.20
Bulgaria	13597.403	7037935	29.0
Burkina Faso	1466.143	17275115	23.33
Burundi	614.52	10557259	57.75
Cambodia	2215.691	14952665	55.0
Cameroon	2257.125	20129878	35.0
Canada	40541.093	34300083	-5.67
Cape Verde	3947.265	523568	-6.0
Central African Republic	767.615	5057208	20.0
Chad	1865.12	10975648	37.67
Chile	17221.689	17067369	29.0
China	8382.014	1343239923	136.0
Colombia	10248.589	45239079	66.5
Comoros	1231.672	737284	13.0
Congo, Republic	4589.098	4366266	30.38
Costa Rica	11927.454	4636348	-2.25
Cote d'Ivoire	1589.83	21952093	83.50
Croatia	18191.682	4480043	23.33
Cyprus	29074.125	1138071	-3.0
Czech Republic	27062.243	10177300	-5.0
Democratic Rep of Congo	348.098	73599190	67.67
Denmark	37151.508	5543453	-5.67
Djibouti	2641.539	774389	83.5
Dominica	13815.721	73126	0.00
Dominican Republic	9286.724	10088598	33.25
Ecuador	8492.429	15223680	38.0
Egypt	6539.844	83688164	97.5
El Salvador	7549.79	6090646	9.3
Equatorial Guinea	19355.546	685991	86.0
Eritrea	735.471	6086495	142.0
Estonia	20379.764	1274709	-9.0
Ethiopia	1092.629	93815992	56.6
Fiji	4620.194	890057	55.0
Finland	36235.97	5262930	-10.0
France	35156.451	65630692	9.5
Gabon	16183.114	1608321	36.5
Gambia	1943.429	1840454	65.5
Georgia	5491.091	4570934	38.0
Germany	37896.948	81305856	-3.0
Ghana	3083.293	25241998	11.0
Greece	26293.949	10767827	24.0
Grenada	13895.543	109011	0.00
Guatemala	5069.694	14099032	35.0
Guinea	1082.635	10884958	30.0
Guinea-Bissau	1144.064	1628603	26.0
Guyana	7465.568	741908	19.5
Haiti	1234.953	9801664	15.67
Honduras	4345.148	8296693	61.0
Hong Kong	49137.468	7153519	17.00
Hungary	19591.395	9958453	10.0
Iceland	38060.836	313183	-7.0
India	3693.529	1205073612	58.0
Indonesia	4666.007	248216193	68.0
Iran	13053.422	78868711	136.6
Iraq	3885.623	31129225	75.36
Ireland	39638.6	4722028	-4.0
Israel	30975.092	7590758	31.25
Italy	30464.429	61261254	19.67
Jamaica	9029.301	2889187	-3.0
Japan	34739.655	127368088	-1.0
Jordan	5899.677	6508887	56.8
Kazakhstan	13001.396	17522010	77.5
