Kenya	1745.962	43013341	29.5
Kuwait	41690.642	2646314	28.0
Kyrgyzstan	2372.405	5496737	40.0
Lao People's Democratic Republic	2658.929	6586266	89.00
Latvia	15662.381	2191580	15.0
Lebanon	15522.766	4140289	31.5
Lesotho	1959.77	1930493	21.0
Liberia	456.442	3887886	40.5
Libya	5786.653	6733620	77.5
Lithuania	18856.187	3525761	4.0
Luxembourg	80119.084	509074	-7.0
Macedonia	10366.766	2082370	31.67
Madagascar	933.598	22585517	29.5
Malawi	859.851	16323044	68.0
Malaysia	15567.932	29179952	56.0
Maldives	8731.249	394451	25.0
Mali	1127.518	14533511	0.0
Malta	25428.08	409836	19.5
Mauritania	2178.628	3359185	22.2
Mauritius	14954.0	1313095	17.0
Mexico	14609.77	114975406	72.67
Moldova	3373.298	3656843	16.0
Mongolia	4743.748	3179997	35.75
Morocco	5052.25	32309239	63.29
Mozambique	1084.899	23515934	21.5
Myanmar	1324.627	54584650	100.00
Namibia	7363.177	2165828	-2.0
Nepal	1327.999	29890686	38.75
Netherlands	42183.002	16730632	-9.0
New Zealand	27668.367	4327944	-5.33
Nicaragua	3205.615	5727707	24.33
Niger	771.08	17078839	2.5
Nigeria	2578.249	170123740	56.4
Norway	53470.697	4707270	-10.0
Oman	26519.429	3090150	55.0
Pakistan	2786.946	190291129	75.0
Panama	14096.703	3510045	45.67
Papua New Guinea	2532.198	6310129	9.0
Paraguay	5412.699	6541591	29.0
Peru	10062.44	29549517	51.25
Philippines	4072.879	103775002	64.5
Poland	20334.191	38415284	-0.67
Portugal	23361.25	10781459	5.33
Qatar	102943.321	1951591	46.0
Republic of Korea	31713.669	48860500	12.67
Romania	12476.463	21848504	14.0
Russia	16736.048	138082178	66.0
Rwanda	1340.532	11689696	81.0
Samoa	5965.022	194320	17.0
Saudi Arabia	24237.401	26534504	83.25
Senegal	1870.988	12969606	26.0
Serbia	10641.991	7276604	29.0
Seychelles	24726.094	90024	25.0
Sierra Leone	848.816	5485998	21.0
Singapore	59711.239	5353494	61.0
Slovakia	23303.874	5483088	0.0
Slovenia	28641.568	1996617	9.14
South Africa	10973.006	48810427	12.0
Spain	30625.747	47042984	9.75
Sri Lanka	5673.689	21481334	87.5
St. Kitts and Nevis	15573.471	50726	0.00
St. Lucia	12607.143	162178	0.00
St. Vincent and the Grenadines	11490.907	103537	0.00
Sudan	2726.416	34206710	100.75
Suriname	9475.39	560157	-1.0
Swaziland	5301.965	1386914	67.0
Sweden	40393.561	9103788	-5.5
Switzerland	43369.711	7655628	-6.2
Taiwan	37719.617	23113901	13.0
Tajikistan	2066.589	7768385	56.0
Tanzania	1514.885	43601796	6.0
Thailand	9396.242	67091089	61.5
Togo	898.663	6961049	28.5
Tonga	7344.378	106146	21.0
Trinidad and Tobago	20053.394	1226383	15.0
Tunisia	9477.511	10732900	60.25
Turkey	14517.446	79749461	70.0
Turkmenistan	7846.351	5054828	140.67
Uganda	1317.258	35873253	64.0
Ukraine	7233.151	44854065	54.0
United Arab Emirates	48157.836	5314317	45.0
United Kingdom	36089.595	63047162	2.0
United States	48386.686	313847465	14.00
Uruguay	15112.562	3316328	4.25
Uzbekistan	3302.102	28394180	83.0
Venezuela	12568.029	28047938	55.0
Vietnam	3358.671	91519289	114.0
Yemen	2306.695	24771809	101.0
Zambia	1610.722	14309466	30.0
Zimbabwe	487.197	12619600	55.0
