language	country	num_results	lang_gdp	lang_pop	country_gdp	country_pop	distance
ru	AO	1370	15434.3521458	169970806.32	5894.617	18056072.0	10747.0613828
ru	BI	119	15434.3521458	169970806.32	614.52	10557259.0	9258.06025115
ru	BJ	87	15434.3521458	169970806.32	1481.063	9598787.0	9523.09137754
ru	BF	162	15434.3521458	169970806.32	1466.143	17275115.0	9413.79789027
ru	BW	206	15434.3521458	169970806.32	16029.809	2098018.0	11373.8251029
ru	CF	12	15434.3521458	169970806.32	767.615	5057208.0	8725.90034146
ru	CI	950	15434.3521458	169970806.32	1589.83	21952093.0	10059.2647818
ru	CM	1750	15434.3521458	169970806.32	2257.125	20129878.0	9321.83501181
ru	CG	455	15434.3521458	169970806.32	4589.098	4366266.0	9829.30399951
ru	ER	108	15434.3521458	169970806.32	735.471	6086495.0	6976.69657282
ru	ET	1160	15434.3521458	169970806.32	1092.629	93815992.0	7711.60662425
ru	GA	146	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GH	2790	15434.3521458	169970806.32	3083.293	25241998.0	9898.62092959
ru	GN	539	15434.3521458	169970806.32	1082.635	10884958.0	10027.3994624
ru	GA	71	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GW	31	15434.3521458	169970806.32	1144.064	1628603.0	10180.448095
ru	KE	1860	15434.3521458	169970806.32	1745.962	43013341.0	8401.57625377
ru	LR	1220	15434.3521458	169970806.32	456.442	3887886.0	10443.0658207
ru	LS	53	15434.3521458	169970806.32	1959.77	1930493.0	11886.9204617
ru	MG	191	15434.3521458	169970806.32	933.598	22585517.0	10096.325167
ru	ML	614	15434.3521458	169970806.32	1127.518	14533511.0	9131.44655087
ru	MZ	178	15434.3521458	169970806.32	1084.899	23515934.0	10460.5315801
ru	MR	135	15434.3521458	169970806.32	2178.628	3359185.0	9242.85397608
ru	MU	127	15434.3521458	169970806.32	14954.0	1313095.0	9719.03463707
ru	MW	143	15434.3521458	169970806.32	859.851	16323044.0	10038.8561442
ru	NA	175	15434.3521458	169970806.32	7363.177	2165828.0	11739.2636116
ru	NE	781	15434.3521458	169970806.32	771.08	17078839.0	8584.41589904
ru	NG	4640	15434.3521458	169970806.32	2578.249	170123740.0	9159.27683146
ru	RW	188	15434.3521458	169970806.32	1340.532	11689696.0	9111.13426593
ru	SD	2600	15434.3521458	169970806.32	2726.416	34206710.0	7366.5553748
ru	SN	88	15434.3521458	169970806.32	1870.988	12969606.0	9933.04021128
ru	SL	604	15434.3521458	169970806.32	848.816	5485998.0	10350.0869413
ru	TD	1210	15434.3521458	169970806.32	1865.12	10975648.0	8070.91012476
ru	TZ	589	15434.3521458	169970806.32	1514.885	43601796.0	9246.47032495
ru	UG	803	15434.3521458	169970806.32	1317.258	35873253.0	8561.30007537
