date_period,orig_country,orig_lang,dest_country,num_results
2008,kr,ko,Angola,13900
2008,kr,ko,Burundi,1500
2008,kr,ko,Benin,199
2008,kr,ko,Burkina Faso,526
2008,kr,ko,Botswana,2720
2008,kr,ko,Central African Republic,667
2008,kr,ko,Cote d'Ivoire,6850
2008,kr,ko,Cameroon,9060
2008,kr,ko,Republic of the Congo,964
2008,kr,ko,Eritrea,161
2008,kr,ko,Ethiopia,4220
2008,kr,ko,Gabon,1050
2008,kr,ko,Ghana,18400
2008,kr,ko,Guinea,1280
2008,kr,ko,Gambia,1700
2008,kr,ko,Guinea-Bissau,51
2008,kr,ko,Kenya,20800
2008,kr,ko,Liberia,870
2008,kr,ko,Lesotho,108
2008,kr,ko,Madagascar,909
2008,kr,ko,Mali,4800
2008,kr,ko,Mozambique,3540
2008,kr,ko,Mauritania,136
2008,kr,ko,Mauritius,209
2008,kr,ko,Malawi,5670
2008,kr,ko,Namibia,640
2008,kr,ko,Niger,1450
2008,kr,ko,Nigeria,43900
2008,kr,ko,Rwanda,1450
2008,kr,ko,Sudan,0
2008,kr,ko,Senegal,11800
2008,kr,ko,Sierra Leone,560
2008,kr,ko,Somalia,9880
2008,kr,ko,Chad,1020
2008,kr,ko,Togo,5000
2008,kr,ko,Tanzania,9260
2008,kr,ko,Uganda,2150
2008,kr,ko,South Africa,27000
2008,kr,ko,Democratic Republic of the Congo,587
2008,kr,ko,Zambia,5290
2008,kr,ko,Zimbabwe,8810
2008,kr,ko,Afghanistan,26300
2008,kr,ko,Bangladesh,15300
2008,kr,ko,Bhutan,0
2008,kr,ko,India,302000
2008,kr,ko,Sri Lanka,17900
2008,kr,ko,Nepal,12400
2008,kr,ko,Pakistan,20500
2008,kr,ko,Canada,228000
2008,kr,ko,United States,926000
2008,kr,ko,United Arab Emirates,33900
2008,kr,ko,Algeria,11100
2008,kr,ko,Egypt,28400
2008,kr,ko,Iran,397000
2008,kr,ko,Iraq,55300
2008,kr,ko,Israel,99200
2008,kr,ko,Jordan,68400
2008,kr,ko,Kuwait,20600
2008,kr,ko,Lebanon,26800
2008,kr,ko,Libya,26600
2008,kr,ko,Morocco,10500
2008,kr,ko,Oman,0
2008,kr,ko,Qatar,41300
2008,kr,ko,Saudi Arabia,27000
2008,kr,ko,Syria,51800
2008,kr,ko,Tunisia,6670
2008,kr,ko,West Bank,8563
2008,kr,ko,Yemen,18500
2008,kr,ko,Argentina,119000
2008,kr,ko,Bolivia,20700
2008,kr,ko,Brazil,157000
2008,kr,ko,Chile,69700
2008,kr,ko,Colombia,0
2008,kr,ko,Costa Rica,14200
2008,kr,ko,Cuba,12600
2008,kr,ko,Dominican Republic,21
2008,kr,ko,Ecuador,25600
2008,kr,ko,Guatemala,4020
2008,kr,ko,Honduras,14500
2008,kr,ko,Haiti,10100
2008,kr,ko,Jamaica,13100
2008,kr,ko,Mexico,130000
2008,kr,ko,Nicaragua,8860
2008,kr,ko,Panama,4980
2008,kr,ko,Peru,9580
2008,kr,ko,Puerto Rico,80
2008,kr,ko,Paraguay,7400
2008,kr,ko,El Salvador,31500
2008,kr,ko,Uruguay,27400
2008,kr,ko,Venezuela,48200
2008,kr,ko,Albania,705
2008,kr,ko,Armenia,1110
2008,kr,ko,Austria,39100
2008,kr,ko,Azerbaijan,0
2008,kr,ko,Belgium,30800
2008,kr,ko,Bulgaria,14700
2008,kr,ko,Bosnia and Herzegovina,962
2008,kr,ko,Belarus,0
2008,kr,ko,Switzerland,70600
2008,kr,ko,Czech Republic,642
2008,kr,ko,Germany,441000
2008,kr,ko,Denmark,30300
2008,kr,ko,Spain,131000
2008,kr,ko,Estonia,1920
2008,kr,ko,Finland,13800
2008,kr,ko,France,450000
2008,kr,ko,United Kingdom,390000
2008,kr,ko,Georgia,5630
2008,kr,ko,Greece,55200
2008,kr,ko,Greenland,2970
2008,kr,ko,Croatia,6350
2008,kr,ko,Hungary,17800
2008,kr,ko,Ireland,129000
2008,kr,ko,Italy,149000
2008,kr,ko,Kazakhstan,0
2008,kr,ko,Kyrgyzstan,146
2008,kr,ko,Lithuania,4340
2008,kr,ko,Macedonia,3630
2008,kr,ko,Netherlands,50200
2008,kr,ko,Norway,29400
2008,kr,ko,Poland,18100
2008,kr,ko,Portugal,83700
2008,kr,ko,Romania,7390
2008,kr,ko,Russia,293000
2008,kr,ko,Serbia,9140
2008,kr,ko,Slovakia,6960
2008,kr,ko,Slovenia,6620
2008,kr,ko,Sweden,50700
2008,kr,ko,Tajikistan,2470
2008,kr,ko,Turkmenistan,2910
2008,kr,ko,Turkey,70100
2008,kr,ko,Ukraine,27500
2008,kr,ko,Uzbekistan,0
2008,kr,ko,Australia,294000
2008,kr,ko,China,660000
2008,kr,ko,Hong Kong,161000
2008,kr,ko,Indonesia,106000
2008,kr,ko,Japan,842000
2008,kr,ko,Cambodia,17500
2008,kr,ko,South Korea,1230000
2008,kr,ko,Laos,5320
2008,kr,ko,Macau,12000
2008,kr,ko,Myanmar,11000
2008,kr,ko,Mongolia,20900
2008,kr,ko,Malaysia,72400
2008,kr,ko,New Zealand,71600
2008,kr,ko,Philippines,62400
2008,kr,ko,Papua New Guinea,911
2008,kr,ko,North Korea,693000
2008,kr,ko,Singapore,91500
2008,kr,ko,Thailand,87500
2008,kr,ko,Vietnam,89300
2008,kr,ko,Taiwan,206000
