country	gdp	pop	latitude	longitude
NA	7363.177	2165828	-22.0	17.0
NP	1327.999	29890686	28.0	84.0
NL	42183.002	16730632	52.5	5.75
NZ	27668.367	4327944	-42.0	174.0
NI	3205.615	5727707	13.0	-85.0
NE	771.08	17078839	16.0	8.0
NG	2578.249	170123740	10.0	8.0
NO	53470.697	4707270	62.0	10.0
OM	26519.429	3090150	21.0	57.0
PK	2786.946	190291129	30.0	70.0
PA	14096.703	3510045	9.0	-80.0
PG	2532.198	6310129	-6.0	147.0
PY	5412.699	6541591	-22.993333	-57.996389
PE	10062.44	29549517	-10.0	-76.0
PH	4072.879	103775002	13.0	122.0
PL	20334.191	38415284	52.0	20.0
PT	23361.25	10781459	39.5	-8.0
QA	102943.321	1951591	25.5	51.25
KR	31713.669	48860500	37.0	127.5
RO	12476.463	21848504	46.0	25.0
RU	16736.048	138082178	60.0	100.0
RW	1340.532	11689696	-2.0	30.0
WS	5965.022	194320	-13.803096	-172.178309
SA	24237.401	26534504	25.0	45.0
SN	1870.988	12969606	14.0	-14.0
RS	10641.991	7276604	44.0	21.0
SC	24726.094	90024	-4.583333	55.666667
SL	848.816	5485998	8.5	-11.5
SG	59711.239	5353494	1.366667	103.8
SK	23303.874	5483088	48.666667	19.5
SI	28641.568	1996617	46.25	15.166667
ZA	10973.006	48810427	-30.0	26.0
ES	30625.747	47042984	40.0	-4.0
LK	5673.689	21481334	7.0	81.0
KN	15573.471	50726	17.333333	-62.75
LC	12607.143	162178	13.883333	-60.966667
VC	11490.907	103537	13.083333	-61.2
SD	2726.416	34206710	16.0	30.0
SR	9475.39	560157	4.0	-56.0
SZ	5301.965	1386914	-26.5	31.5
SE	40393.561	9103788	62.0	15.0
CH	43369.711	7655628	47.0	8.0
TW	37719.617	23113901	24.0	121.0
TJ	2066.589	7768385	39.0	71.0
TZ	1514.885	43601796	-6.0	35.0
TH	9396.242	67091089	15.0	100.0
TG	898.663	6961049	8.0	1.166667
TO	7344.378	106146	-20.0	-175.0
TT	20053.394	1226383	11.0	-61.0
TN	9477.511	10732900	34.0	9.0
TR	14517.446	79749461	39.059012	34.911546
TM	7846.351	5054828	40.0	60.0
