date_period,orig_country,orig_lang,dest_country,num_results
2008,ru,ru,Angola,897
2008,ru,ru,Burundi,62
2008,ru,ru,Benin,56
2008,ru,ru,Burkina Faso,110
2008,ru,ru,Botswana,98
2008,ru,ru,Central African Republic,17
2008,ru,ru,Cote d'Ivoire,96
2008,ru,ru,Cameroon,163
2008,ru,ru,Republic of the Congo,328
2008,ru,ru,Eritrea,95
2008,ru,ru,Ethiopia,849
2008,ru,ru,Gabon,74
2008,ru,ru,Ghana,602
2008,ru,ru,Guinea,119
2008,ru,ru,Gambia,42
2008,ru,ru,Guinea-Bissau,9
2008,ru,ru,Kenya,2400
2008,ru,ru,Liberia,175
2008,ru,ru,Lesotho,30
2008,ru,ru,Madagascar,106
2008,ru,ru,Mali,116
2008,ru,ru,Mozambique,104
2008,ru,ru,Mauritania,100
2008,ru,ru,Mauritius,76
2008,ru,ru,Malawi,83
2008,ru,ru,Namibia,142
2008,ru,ru,Niger,107
2008,ru,ru,Nigeria,2640
2008,ru,ru,Rwanda,149
2008,ru,ru,Sudan,2000
2008,ru,ru,Senegal,181
2008,ru,ru,Sierra Leone,119
2008,ru,ru,Somalia,4100
2008,ru,ru,Chad,847
2008,ru,ru,Tanzania,184
2008,ru,ru,Uganda,145
2008,ru,ru,South Africa,1960
2008,ru,ru,Democratic Republic of the Congo,366
2008,ru,ru,Zambia,96
2008,ru,ru,Zimbabwe,1760
2008,ru,ru,Afghanistan,3280
2008,ru,ru,Bangladesh,703
2008,ru,ru,Bhutan,78
2008,ru,ru,India,9220
2008,ru,ru,Sri Lanka,562
2008,ru,ru,Nepal,878
2008,ru,ru,Pakistan,5010
2008,ru,ru,Canada,7460
2008,ru,ru,United States,93224
2008,ru,ru,United Arab Emirates,2065
2008,ru,ru,Algeria,1870
2008,ru,ru,Egypt,2890
2008,ru,ru,Iran,15500
2008,ru,ru,Iraq,12200
2008,ru,ru,Israel,21500
2008,ru,ru,Jordan,182
2008,ru,ru,Kuwait,1520
2008,ru,ru,Lebanon,2690
2008,ru,ru,Libya,2640
2008,ru,ru,Morocco,1030
2008,ru,ru,Oman,628
2008,ru,ru,Qatar,2000
2008,ru,ru,Saudi Arabia,4390
2008,ru,ru,Syria,3270
2008,ru,ru,Tunisia,662
2008,ru,ru,West Bank,2210
2008,ru,ru,Yemen,912
2008,ru,ru,Argentina,3530
2008,ru,ru,Bolivia,898
2008,ru,ru,Brazil,7500
2008,ru,ru,Chile,1560
2008,ru,ru,Colombia,2880
2008,ru,ru,Costa Rica,85
2008,ru,ru,Cuba,4180
2008,ru,ru,Dominican Republic,560
2008,ru,ru,Ecuador,1410
2008,ru,ru,Guatemala,177
2008,ru,ru,Honduras,138
2008,ru,ru,Haiti,723
2008,ru,ru,Jamaica,170
2008,ru,ru,Mexico,3580
2008,ru,ru,Nicaragua,1200
2008,ru,ru,Panama,738
2008,ru,ru,Peru,1740
2008,ru,ru,Puerto Rico,168
2008,ru,ru,Paraguay,198
2008,ru,ru,El Salvador,175
2008,ru,ru,Uruguay,171
2008,ru,ru,Venezuela,5710
2008,ru,ru,Albania,1660
2008,ru,ru,Armenia,16000
2008,ru,ru,Austria,7490
2008,ru,ru,Azerbaijan,19500
2008,ru,ru,Belgium,5190
2008,ru,ru,Bulgaria,5970
2008,ru,ru,Bosnia and Herzegovina,153
2008,ru,ru,Belarus,20200
2008,ru,ru,Switzerland,9680
2008,ru,ru,Czech Republic,10200
2008,ru,ru,Germany,38400
2008,ru,ru,Denmark,3990
2008,ru,ru,Spain,15700
2008,ru,ru,Estonia,8680
2008,ru,ru,Finland,7910
2008,ru,ru,France,34700
2008,ru,ru,United Kingdom,28100
2008,ru,ru,Georgia,63800
2008,ru,ru,Greece,7830
2008,ru,ru,Greenland,131
2008,ru,ru,Croatia,4390
2008,ru,ru,Hungary,5470
2008,ru,ru,Ireland,3180
2008,ru,ru,Italy,19200
2008,ru,ru,Kazakhstan,22100
2008,ru,ru,Kyrgyzstan,2090
2008,ru,ru,Lithuania,5180
2008,ru,ru,Macedonia,1680
2008,ru,ru,Netherlands,5290
2008,ru,ru,Norway,4640
2008,ru,ru,Poland,10400
2008,ru,ru,Portugal,4270
2008,ru,ru,Romania,6630
2008,ru,ru,Russia,360000
2008,ru,ru,Serbia,8480
2008,ru,ru,Slovakia,3320
2008,ru,ru,Slovenia,2870
2008,ru,ru,Sweden,8310
2008,ru,ru,Tajikistan,5680
2008,ru,ru,Turkmenistan,2660
2008,ru,ru,Turkey,15900
2008,ru,ru,Ukraine,119000
2008,ru,ru,Uzbekistan,7930
