date_period,orig_country,orig_lang,dest_country,num_results
2005,kr,ko,Angola,13900
2005,kr,ko,Burundi,1490
2005,kr,ko,Benin,199
2005,kr,ko,Burkina Faso,526
2005,kr,ko,Botswana,2730
2005,kr,ko,Central African Republic,667
2005,kr,ko,Cote d'Ivoire,6850
2005,kr,ko,Cameroon,9060
2005,kr,ko,Republic of the Congo,964
2005,kr,ko,Eritrea,161
2005,kr,ko,Ethiopia,4220
2005,kr,ko,Gabon,1050
2005,kr,ko,Ghana,31900
2005,kr,ko,Guinea,1280
2005,kr,ko,Gambia,1700
2005,kr,ko,Guinea-Bissau,51
2005,kr,ko,Kenya,20800
2005,kr,ko,Liberia,870
2005,kr,ko,Lesotho,108
2005,kr,ko,Madagascar,909
2005,kr,ko,Mali,4800
2005,kr,ko,Mozambique,3540
2005,kr,ko,Mauritania,136
2005,kr,ko,Mauritius,209
2005,kr,ko,Malawi,5710
2005,kr,ko,Namibia,640
2005,kr,ko,Niger,1450
2005,kr,ko,Nigeria,43900
2005,kr,ko,Rwanda,1450
2005,kr,ko,Sudan,0
2005,kr,ko,Senegal,11800
2005,kr,ko,Sierra Leone,560
2005,kr,ko,Somalia,9880
2005,kr,ko,Chad,1020
2005,kr,ko,Togo,5000
2005,kr,ko,Tanzania,9290
2005,kr,ko,Uganda,2150
2005,kr,ko,South Africa,27000
2005,kr,ko,Democratic Republic of the Congo,587
2005,kr,ko,Zambia,5290
2005,kr,ko,Zimbabwe,8850
2005,kr,ko,Afghanistan,26300
2005,kr,ko,Bangladesh,15300
2005,kr,ko,Bhutan,0
2005,kr,ko,India,302000
2005,kr,ko,Sri Lanka,18000
2005,kr,ko,Nepal,12400
2005,kr,ko,Pakistan,20500
2005,kr,ko,Canada,228000
2005,kr,ko,United States,926000
2005,kr,ko,United Arab Emirates,37100
2005,kr,ko,Algeria,11100
2005,kr,ko,Egypt,28400
2005,kr,ko,Iran,397000
2005,kr,ko,Iraq,55300
2005,kr,ko,Israel,98900
2005,kr,ko,Jordan,68400
2005,kr,ko,Kuwait,20600
2005,kr,ko,Lebanon,26800
2005,kr,ko,Libya,26600
2005,kr,ko,Morocco,10500
2005,kr,ko,Oman,0
2005,kr,ko,Qatar,41300
2005,kr,ko,Saudi Arabia,27000
2005,kr,ko,Syria,51500
2005,kr,ko,Tunisia,6670
2005,kr,ko,West Bank,8536
2005,kr,ko,Yemen,18500
2005,kr,ko,Argentina,119000
2005,kr,ko,Bolivia,20800
2005,kr,ko,Brazil,157000
2005,kr,ko,Chile,69800
2005,kr,ko,Colombia,0
2005,kr,ko,Costa Rica,14200
2005,kr,ko,Cuba,12600
2005,kr,ko,Dominican Republic,21
2005,kr,ko,Ecuador,25800
2005,kr,ko,Guatemala,4020
2005,kr,ko,Honduras,14500
2005,kr,ko,Haiti,10100
2005,kr,ko,Jamaica,13100
2005,kr,ko,Mexico,130000
2005,kr,ko,Nicaragua,8900
2005,kr,ko,Panama,4980
2005,kr,ko,Peru,9580
2005,kr,ko,Puerto Rico,80
2005,kr,ko,Paraguay,7390
2005,kr,ko,El Salvador,31500
2005,kr,ko,Uruguay,27500
2005,kr,ko,Venezuela,47300
2005,kr,ko,Albania,705
2005,kr,ko,Armenia,1110
2005,kr,ko,Austria,39100
2005,kr,ko,Azerbaijan,0
2005,kr,ko,Belgium,30800
2005,kr,ko,Bulgaria,14700
2005,kr,ko,Bosnia and Herzegovina,962
2005,kr,ko,Belarus,0
2005,kr,ko,Switzerland,70600
2005,kr,ko,Czech Republic,642
2005,kr,ko,Germany,442000
2005,kr,ko,Denmark,30300
2005,kr,ko,Spain,131000
2005,kr,ko,Estonia,1920
2005,kr,ko,Finland,13800
2005,kr,ko,France,451000
2005,kr,ko,United Kingdom,390000
2005,kr,ko,Georgia,5630
2005,kr,ko,Greece,55200
2005,kr,ko,Greenland,2980
2005,kr,ko,Croatia,6350
2005,kr,ko,Hungary,17800
2005,kr,ko,Ireland,129000
2005,kr,ko,Italy,149000
2005,kr,ko,Kazakhstan,0
2005,kr,ko,Kyrgyzstan,146
2005,kr,ko,Lithuania,4340
2005,kr,ko,Macedonia,3630
2005,kr,ko,Netherlands,50200
2005,kr,ko,Norway,29400
2005,kr,ko,Poland,18100
2005,kr,ko,Portugal,83800
2005,kr,ko,Romania,7400
2005,kr,ko,Russia,293000
2005,kr,ko,Serbia,9140
2005,kr,ko,Slovakia,6960
2005,kr,ko,Slovenia,6620
2005,kr,ko,Sweden,50800
2005,kr,ko,Tajikistan,2470
2005,kr,ko,Turkmenistan,2910
2005,kr,ko,Turkey,70200
2005,kr,ko,Ukraine,27500
2005,kr,ko,Uzbekistan,0
2005,kr,ko,Australia,294000
2005,kr,ko,China,660000
2005,kr,ko,Hong Kong,161000
2005,kr,ko,Indonesia,107000
2005,kr,ko,Japan,843000
2005,kr,ko,Cambodia,17500
2005,kr,ko,South Korea,1230000
2005,kr,ko,Laos,5320
2005,kr,ko,Macau,12000
2005,kr,ko,Myanmar,11000
2005,kr,ko,Mongolia,20900
2005,kr,ko,Malaysia,72100
2005,kr,ko,New Zealand,71800
2005,kr,ko,Philippines,62200
2005,kr,ko,Papua New Guinea,911
2005,kr,ko,North Korea,693000
2005,kr,ko,Singapore,91600
2005,kr,ko,Thailand,87300
2005,kr,ko,Vietnam,89600
2005,kr,ko,Taiwan,206000
2005,kr,ko,French Guiana,74
2005,kr,ko,South Sudan,1940
2006,kr,ko,Angola,13900
2006,kr,ko,Burundi,1500
2006,kr,ko,Benin,199
2006,kr,ko,Burkina Faso,526
2006,kr,ko,Botswana,2730
2006,kr,ko,Central African Republic,667
2006,kr,ko,Cote d'Ivoire,6850
2006,kr,ko,Cameroon,9060
2006,kr,ko,Republic of the Congo,964
2006,kr,ko,Eritrea,161
2006,kr,ko,Ethiopia,4220
2006,kr,ko,Gabon,1050
2006,kr,ko,Ghana,31900
2006,kr,ko,Guinea,1280
2006,kr,ko,Gambia,1700
2006,kr,ko,Guinea-Bissau,51
2006,kr,ko,Kenya,20800
2006,kr,ko,Liberia,870
2006,kr,ko,Lesotho,108
2006,kr,ko,Madagascar,909
2006,kr,ko,Mali,4800
2006,kr,ko,Mozambique,3540
2006,kr,ko,Mauritania,136
2006,kr,ko,Mauritius,209
2006,kr,ko,Malawi,5710
2006,kr,ko,Namibia,640
2006,kr,ko,Niger,1450
2006,kr,ko,Nigeria,44000
2006,kr,ko,Rwanda,1450
2006,kr,ko,Sudan,0
2006,kr,ko,Senegal,11800
2006,kr,ko,Sierra Leone,560
2006,kr,ko,Somalia,9880
2006,kr,ko,Chad,1020
2006,kr,ko,Togo,5000
2006,kr,ko,Tanzania,9270
2006,kr,ko,Uganda,2150
