language        gdp
af	10920.9747778
am	1092.629
ar	8807.94629342
ay	4789.212
az	10201.604
be	15028.295
bg	13526.2323741
bm	1127.518
bn	2457.33401614
ca	30625.747
cs	27062.243
cy	36089.595
da	37151.508
de	38280.689953
dv	8731.249
el	26773.3223835
en	25608.9851135
es	16841.7486606
et	20379.764
eu	30625.747
fa	10579.096632
fi	36235.97
fil	4072.879
fr	10881.8432705
ga	39638.6
gd	36089.595
gl	30625.747
he	30975.092
hi	3694.3629157
hr-sr	13276.2219431
ht	3247.11805836
hu	18576.887979
hy	5593.97259869
id-ms	6010.07122475
is	38060.836
it	30202.3555627
ja	34739.655
ka	5491.091
kk	13001.396
km	2215.691
ko	31713.669
ku	11183.9868597
ky	2372.405
lb	80119.084
lo	2658.929
lt	18752.9302167
lv	15662.381
mk	10366.766
ml	3693.529
mn	4743.748
mr	3693.529
mt	25428.08
my	1324.627
nb	53470.697
nl	40222.9083061
nso	10973.006
om	1092.629
pa	3031.50578618
pl	20320.4496641
pt	11727.3772007
qu	4789.212
ro	11346.8370099
ru	15434.3521458
si	5673.689
sk	23303.874
sl	28641.568
sq	8147.95815617
sv	40276.7612594
sw	1537.16029537
ta	3795.66287153
te	3693.529
tg	2237.76077377
th	9396.242
tk	7846.351
tr	14569.8312306
uk	7215.15270482
ur	3510.6761902
uz	3363.64343221
vi	3358.671
xh	10973.006
zh-zh-TW	9163.33897438
zu	10973.006
