date_period,orig_country,orig_lang,dest_country,num_results
2007,ru,ru,Angola,558
2007,ru,ru,Burundi,54
2007,ru,ru,Benin,32
2007,ru,ru,Burkina Faso,43
2007,ru,ru,Botswana,73
2007,ru,ru,Central African Republic,5
2007,ru,ru,Cote d'Ivoire,55
2007,ru,ru,Cameroon,36
2007,ru,ru,Republic of the Congo,77
2007,ru,ru,Eritrea,73
2007,ru,ru,Ethiopia,579
2007,ru,ru,Gabon,32
2007,ru,ru,Ghana,218
2007,ru,ru,Guinea,89
2007,ru,ru,Gambia,34
2007,ru,ru,Guinea-Bissau,15
2007,ru,ru,Kenya,614
2007,ru,ru,Liberia,114
2007,ru,ru,Lesotho,30
2007,ru,ru,Madagascar,36
2007,ru,ru,Mali,85
2007,ru,ru,Mozambique,70
2007,ru,ru,Mauritania,62
2007,ru,ru,Mauritius,30
2007,ru,ru,Malawi,53
2007,ru,ru,Namibia,94
2007,ru,ru,Niger,107
2007,ru,ru,Nigeria,1690
2007,ru,ru,Rwanda,84
2007,ru,ru,Sudan,995
2007,ru,ru,Senegal,104
2007,ru,ru,Sierra Leone,96
2007,ru,ru,Somalia,723
2007,ru,ru,Chad,214
2007,ru,ru,Tanzania,33
2007,ru,ru,Uganda,118
2007,ru,ru,South Africa,1130
2007,ru,ru,Democratic Republic of the Congo,84
2007,ru,ru,Zambia,48
2007,ru,ru,Zimbabwe,166
2007,ru,ru,Afghanistan,7330
2007,ru,ru,Bangladesh,532
2007,ru,ru,Bhutan,62
2007,ru,ru,India,4920
2007,ru,ru,Sri Lanka,109
2007,ru,ru,Nepal,148
2007,ru,ru,Pakistan,3710
2007,ru,ru,Canada,4510
2007,ru,ru,United States,58517
2007,ru,ru,United Arab Emirates,1327
2007,ru,ru,Algeria,1100
2007,ru,ru,Egypt,1650
2007,ru,ru,Iran,16300
2007,ru,ru,Iraq,13400
2007,ru,ru,Israel,15300
2007,ru,ru,Jordan,1480
2007,ru,ru,Kuwait,859
2007,ru,ru,Lebanon,2450
2007,ru,ru,Libya,568
2007,ru,ru,Morocco,753
2007,ru,ru,Oman,174
2007,ru,ru,Qatar,1210
2007,ru,ru,Saudi Arabia,3070
2007,ru,ru,Syria,2730
2007,ru,ru,Tunisia,207
2007,ru,ru,West Bank,1846
2007,ru,ru,Yemen,183
2007,ru,ru,Argentina,2080
2007,ru,ru,Bolivia,541
2007,ru,ru,Brazil,4670
2007,ru,ru,Chile,1210
